Model,Best params,CV R2,Train R2,Test R2,Test MAE,Test RMSE
KNN,"{'model__n_neighbors': 10, 'model__weights': 'distance'}",0.3931932501893187,0.8701255765854157,0.40594558634819944,0.8162679065173212,1.1652039824714844
RandomForest,"{'model__max_depth': None, 'model__n_estimators': 200}",0.44206876249993776,0.8193627700943173,0.37630910284533947,0.865597852697899,1.1939153876898685
SVR,"{'model__C': 10.0, 'model__kernel': 'rbf'}",0.41726032281180425,0.7819049753424575,0.34589247738936735,0.8597405245377305,1.2226817186378893
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100}",0.41913800265873347,0.8543737937951368,0.2998224728299448,0.8934722485996954,1.2650070055983882
Lasso,{'model__alpha': 0.1},0.25492734335696066,0.3008876694583975,0.28674296563053314,1.0617074178780677,1.2767676745632621
Ridge,{'model__alpha': 0.1},-0.11945849490496467,0.5482062197756488,0.2213992952400483,0.9982215504144586,1.3339705540042657
LinearRegression,{},-0.14786900245747842,0.5495956145608241,0.18951778422998278,1.0149839482233813,1.3610077295097522
DecisionTree,"{'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.17715981434573044,0.4991447566834326,0.0007195159923600869,1.1708668591559792,1.5112369015699154
