Model,Best params,CV R2,Train R2,Test R2,Test MAE,Test RMSE
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.42168134243313143,0.8443975131656647,0.4130834425321589,1.1362188528278043,1.4396244429054272
SVR,"{'model__C': 1.0, 'model__kernel': 'rbf'}",0.3664450014822516,0.5976810804149267,0.3881044996549452,1.1607504442763283,1.4699401784269968
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.4034015603107404,0.7707569493719246,0.37179894421586124,1.175352471708111,1.4893966133550487
KNN,"{'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.3293864091515954,0.576158717332196,0.3103284566080913,1.2112261619960867,1.5605661571583167
Lasso,{'model__alpha': 0.1},0.21881378683411895,0.2827801808807129,0.24977154645579203,1.352254725774533,1.6276379102972194
DecisionTree,"{'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.225995494837049,0.5043707372760877,0.20533300430520696,1.3381244968676365,1.6751496814847917
Ridge,{'model__alpha': 0.1},0.08775849533974622,0.5427278665933567,0.1656722890924366,1.3396642829599354,1.7164429181003586
LinearRegression,{},-0.02642988147155534,0.5488495829273659,0.0699736619360325,1.380576313569674,1.8122105522909364
