Model,Best params,CV R2,Train R2,Test R2,Test MAE,Test RMSE
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.2925600298074645,0.7199832191637079,0.28895527904097473,0.9526229232489136,1.2877179669918504
SVR,"{'model__C': 1.0, 'model__kernel': 'rbf'}",0.23236728851091346,0.47100356960750767,0.2638797242995484,0.9283308614034901,1.3102274295021554
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.2610773938552894,0.6516955050000469,0.2623535251660456,0.972823387599576,1.3115849743410182
KNN,"{'model__n_neighbors': 7, 'model__weights': 'uniform'}",0.21087930004584213,0.4169317765599828,0.2610771332005678,0.98740122981392,1.3127192392022868
DecisionTree,"{'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.1367878203066783,0.4095177955546697,0.2572785565340583,0.9871074777383737,1.3160890581928377
Lasso,{'model__alpha': 0.01},0.12840535261329225,0.32086230351924816,0.21931286220339052,1.0003165842483903,1.349307111043338
Ridge,{'model__alpha': 100.0},0.14975675107298175,0.31570783025587246,0.21724443232713997,1.001328951347411,1.3510934226127551
LinearRegression,{},-0.3182298303741212,0.44389739432434594,-0.06515182188213275,1.1446272148914807,1.576079260864434
