Model,Best params,CV F1,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC_AUC
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.6979244298836741,0.9328571428571428,0.707641196013289,0.6703296703296703,0.8133333333333334,0.7349397590361446,0.7800220750551876
DecisionTree,"{'model__criterion': 'entropy', 'model__max_depth': 5}",0.704369242049928,0.7842857142857143,0.6910299003322259,0.6476683937823834,0.8333333333333334,0.7288629737609329,0.7398013245033113
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.7094225639929366,0.9514285714285714,0.6843853820598007,0.6536312849162011,0.78,0.7112462006079028,0.7725165562913907
SVC,"{'model__C': 10.0, 'model__kernel': 'rbf'}",0.7161575051341208,0.9214285714285714,0.6843853820598007,0.6608187134502924,0.7533333333333333,0.7040498442367601,0.7242604856512141
LogisticRegression,"{'model__C': 0.1, 'model__penalty': 'l2'}",0.6867491441020853,0.7785714285714286,0.6710963455149501,0.6440677966101694,0.76,0.6972477064220184,0.7297792494481237
KNN,"{'model__n_neighbors': 3, 'model__weights': 'distance'}",0.7026936265456432,0.9514285714285714,0.6744186046511628,0.6688311688311688,0.6866666666666666,0.6776315789473685,0.7067770419426049
