Model,Best params,CV F1,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC_AUC
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.7494339609543726,0.9685714285714285,0.7408637873754153,0.7045454545454546,0.8266666666666667,0.7607361963190185,0.8302649006622518
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.7560422102786177,0.9442857142857143,0.7375415282392026,0.7076023391812866,0.8066666666666666,0.7538940809968847,0.8394922737306844
DecisionTree,"{'model__criterion': 'entropy', 'model__max_depth': None}",0.7381930892529079,0.9714285714285714,0.7408637873754153,0.7222222222222222,0.78,0.75,0.753841059602649
LogisticRegression,"{'model__C': 0.01, 'model__penalty': 'l2'}",0.7520711430784532,0.8,0.717607973421927,0.6878612716763006,0.7933333333333333,0.7368421052631579,0.796401766004415
KNN,"{'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7754565657872986,0.9714285714285714,0.7043189368770764,0.6703910614525139,0.8,0.729483282674772,0.7881677704194261
SVC,"{'model__C': 1.0, 'model__kernel': 'rbf'}",0.7902263684524738,0.85,0.7109634551495017,0.688622754491018,0.7666666666666667,0.7255520504731862,0.8063796909492275
