Model,Best params,CV F1,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC_AUC
RandomForest,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.6503628387680733,0.9571428571428572,0.6910299003322259,0.7050359712230215,0.6533333333333333,0.6782006920415224,0.7284547461368654
KNN,"{'model__n_neighbors': 7, 'model__weights': 'uniform'}",0.6652185828898156,0.7271428571428571,0.6744186046511628,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.7379028697571745
SVC,"{'model__C': 10.0, 'model__kernel': 'linear'}",0.6729198901446277,0.7914285714285715,0.6611295681063123,0.6643835616438356,0.6466666666666666,0.6554054054054054,0.6837748344370862
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.6526059517612894,0.9085714285714286,0.6744186046511628,0.696969696969697,0.6133333333333333,0.6524822695035462,0.7094701986754967
LogisticRegression,"{'model__C': 1.0, 'model__penalty': 'l2'}",0.6531204936043051,0.7628571428571429,0.6511627906976745,0.6595744680851063,0.62,0.6391752577319587,0.6803311258278146
DecisionTree,"{'model__criterion': 'gini', 'model__max_depth': 10}",0.6145861012643954,0.8957142857142857,0.6112956810631229,0.6153846153846154,0.5866666666666667,0.6006825938566553,0.6447902869757175
