Model,Best params,CV F1,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC_AUC
SVC,"{'model__C': 10.0, 'model__kernel': 'rbf'}",0.5595211179950725,0.9042857142857142,0.6777408637873754,0.5454545454545454,0.5607476635514018,0.5529953917050692,0.6964302919356393
KNN,"{'model__n_neighbors': 3, 'model__weights': 'distance'}",0.5807579579241055,0.9514285714285714,0.6744186046511628,0.5405405405405406,0.5607476635514018,0.5504587155963303,0.6944310627228056
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",0.5579905800036894,0.9157142857142857,0.7009966777408638,0.5955056179775281,0.4953271028037383,0.5408163265306123,0.7129540418152038
LogisticRegression,"{'model__C': 10.0, 'model__penalty': 'l2'}",0.5394578832554473,0.8114285714285714,0.6810631229235881,0.5555555555555556,0.514018691588785,0.5339805825242718,0.6764861740052027
RandomForest,"{'model__max_depth': None, 'model__n_estimators': 100}",0.5727060857683046,0.9514285714285714,0.6976744186046512,0.5930232558139535,0.4766355140186916,0.5284974093264249,0.71097889970132
DecisionTree,"{'model__criterion': 'gini', 'model__max_depth': None}",0.5423060997056114,0.9514285714285714,0.6179401993355482,0.46774193548387094,0.5420560747663551,0.5021645021645021,0.6113064842470374
